Mouse,Sex,Treatment,Gonad,GonadWeight,ProstateWeight,AnimalWeight
21-02F,F,C,SHAM,0.085,-999,33.8
25-02F,F,T,SHAM,0.126,-999,32
26-02F,F,C,SHAM,0.132,-999,32.7
28-01F,F,C,SHAM,0.156,-999,30.9
28-02F,F,C,GDX,-999,-999,34.1
28-03F,F,C,REP,-999,-999,31.5
28-04F,F,C,REP,-999,-999,32.3
28-05M,M,C,SHAM,0.3357,0.269,36.9
28-06M,M,C,REP,-999,0.0276,39.5
28-07F,F,C,SHAM,0.1515,-999,34.2
28-08M,M,C,GDX,-999,0.196,40.1
29-01F,F,C,SHAM,0.03,-999,27
29-02F,F,C,GDX,-999,-999,38.5
29-03F,F,C,GDX,-999,-999,36.5
29-04F,F,T,GDX,-999,-999,35.4
29-05M,M,C,SHAM,0.2887,-999,36.9
29-06M,M,C,GDX,-999,0.0577,42.2
29-07M,M,C,REP,-999,0.2247,48.3
30-01M,M,C,REP,-999,0.2099,35.4
30-02M,M,C,REP,-999,0.2515,43.5
30-03M,M,C,SHAM,0.3461,0.1905,42.7
30-04M,M,C,SHAM,0.415,0.228,42.6
30-05M,M,C,REP,-999,-999,43.9
30-06F,F,C,SHAM,0.1484,-999,30.4
30-07M,M,C,REP,-999,0.1741,45
30-08M,M,C,SHAM,0.311,0.2164,41.1
31-01F,F,C,REP,-999,-999,32.8
31-02F,F,C,GDX,-999,-999,37
31-03F,F,C,SHAM,0.0753,-999,29.1
31-04M,M,C,GDX,-999,0.0978,41.9
31-06M,M,C,REP,-999,0.2587,42.6
31-07M,M,C,SHAM,0.3072,0.1717,44.1
31-08F,F,C,REP,-999,-999,33.8
32-01M,M,C,REP,-999,0.2292,44.3
32-02M,M,C,GDX,-999,0.1242,38
32-03F,F,C,REP,-999,-999,33.2
32-04F,F,T,GDX,-999,-999,34.2
32-05F,F,C,GDX,-999,-999,33.7
32-06F,F,C,SHAM,0.0644,-999,29
32-07M,M,C,REP,-999,0.14,39.5
32-08F,F,C,REP,-999,-999,29.3
33-01F,F,C,SHAM,0.1326,-999,30.8
33-02F,F,C,SHAM,0.1317,-999,31.4
33-04M,M,C,SHAM,0.3748,0.1295,37.2
33-05M,M,C,GDX,-999,0.113,47.5
33-06M,M,C,SHAM,0.3591,0.1519,40.4
33-08F,F,C,REP,-999,-999,32.7
34-01F,F,C,REP,-999,-999,36.2
34-02F,F,C,SHAM,0.00695,-999,28.6
34-03F,F,C,REP,-999,-999,35.1
34-04F,F,C,GDX,-999,-999,36.2
34-07M,M,C,REP,-999,0.1288,-999
34-08F,F,C,SHAM,0.0882,-999,30.1
35-01F,F,C,GDX,-999,-999,37.4
35-02F,F,C,GDX,-999,-999,35.4
35-04M,M,C,REP,-999,0.1126,41.3
35-05M,M,C,REP,-999,0.2564,41.5
35-06M,M,C,GDX,-999,0.1154,40.3
35-07M,M,C,SHAM,0.342,0.1716,38.5
35-08F,F,C,SHAM,0.1052,-999,29.2
36-01F,F,T,GDX,-999,-999,27.9
36-02F,F,T,SHAM,0.05,-999,30.3
36-03F,F,T,GDX,-999,-999,33.4
36-03M?,M,T,GDX,-999,0.0586,36.5
36-06M,M,T,REP,-999,0.0866,40.4
36-08F,F,T,SHAM,0.0722,-999,28.3
37-01M,M,T,REP,-999,0.2955,33.5
37-02M,M,T,GDX,-999,0.1002,35.1
37-03M,M,T,REP,-999,0.2955,35.4
37-04M,M,T,SHAM,0.372,0.2401,40.6
37-05M,M,C,GDX,-999,0.0942,39
37-06F,F,T,SHAM,0.0935,-999,28.7
37-07M,M,T,GDX,-999,0.0722,35.7
37-08M,M,T,GDX,-999,0.1071,40
38-01F,F,T,REP,-999,-999,33.4
38-02F,F,T,GDX,-999,-999,33.9
38-03F,F,T,SHAM,0.2258,-999,33
38-04F,F,T,GDX,-999,-999,31.4
38-05M,M,T,GDX,-999,0.606,40.3
38-06M,M,T,SHAM,0.3899,0.1791,40.8
38-07F,F,T,GDX,-999,-999,33.2
39-01F,F,T,REP,-999,-999,37.9
39-02F,F,T,GDX,-999,-999,30.2
39-03F,F,T,GDX,-999,-999,31.7
39-05M,M,T,SHAM,0.2785,0.1311,36.2
39-06M,M,T,REP,-999,0.105,39.8
39-07F,F,T,SHAM,0.1251,-999,32.3
39-08M,M,T,REP,-999,0.1503,40.6
40-01F,F,T,REP,-999,-999,29.4
40-02F,F,T,SHAM,0.0943,-999,27.5
40-03F,F,T,SHAM,0.089,-999,-999
40-04M,M,T,SHAM,0.4371,0.1917,47
40-05M,M,T,REP,-999,0.176,39.4
40-06M,M,T,REP,-999,0.09521,37.3
40-08M,M,T,GDX,-999,0.147,37.9
40-09M,M,T,SHAM,0.2686,0.165,49.3
41-01F,F,T,GDX,-999,-999,32.4
41-02F,F,T,REP,-999,-999,32.4
41-03F,F,T,REP,-999,-999,28.9
41-03M,M,T,REP,-999,0.151,44.4
41-04M,M,T,GDX,-999,0.0947,46.2
41-05M,M,T,GDX,-999,0.1884,42.2
41-07M,M,T,GDX,-999,0.1114,41.5
41-08F,F,T,GDX,-999,-999,32.2
42-01F,F,T,SHAM,0.198,-999,31.3
42-02F,F,T,REP,-999,-999,36.3
42-04M,M,T,REP,-999,0.2268,37.5
42-05M,M,T,SHAM,0.3973,0.2973,44.6
42-06M,M,T,GDX,-999,0.1202,36.2
42-07M,M,T,REP,-999,0.1357,31.5
42-08F,F,T,REP,-999,-999,30.5
43-01M,M,T,REP,-999,0.1129,44.4
43-03M,M,T,SHAM,0.38,0.1711,41.4
43-04M,M,T,REP,-999,0.1254,34.2
43-05M,M,T,SHAM,0.3772,0.2159,40.7
43-06F,F,T,GDX,-999,-999,30.7
43-07M,M,T,GDX,-999,0.146,42.4
43-08F,F,T,GDX,-999,-999,31.5
44-01F,F,C,REP,-999,-999,36
44-02F,F,C,REP,-999,-999,27.4
44-03F,F,C,SHAM,0.1985,-999,35.2
44-04M,M,C,GDX,0.2893,0.1149,37.8
44-05M,M,C,GDX,-999,0.1206,41.9
44-06M,M,C,REP,-999,0.0688,40.5
44-07M,M,C,SHAM,0.3734,0.2717,37.8
44-08M,M,C,SHAM,0.415,0.3115,40
45-01F,F,C,REP,-999,-999,32.1
45-02F,F,C,REP,-999,-999,33.2
45-03M,M,C,SHAM,0.382,0.2448,39.3
45-04M,M,C,GDX,-999,0.0691,38.8
45-05M,M,C,REP,-999,0.1528,40.2
45-06M,M,C,SHAM,0.3653,0.1518,42.5
45-07M,M,C,SHAM,0.4114,0.2459,47.1
45-08M,M,C,GDX,-999,0.2039,40.5
46-01F,F,C,SHAM,0.1384,-999,33
46-03F,F,C,REP,-999,-999,33.1
46-04F,F,C,REP,-999,-999,30.9
46-05F,F,C,SHAM,0.0881,-999,28.6
46-06F,F,C,SHAM,0.051,-999,28.5
46-07F,M,C,REP,-999,-999,32.3
46-08F,F,C,REP,-999,-999,28.7
46-08F,F,C,REP,-999,-999,32.8
46-09M,M,C,REP,-999,0.1282,43.4
46-10M,M,C,GDX,-999,0.0713,33.4
47-01F,F,C,GDX,-999,-999,34.8
47-02F,F,C,SHAM,0.0202,-999,30.1
47-03F,F,C,GDX,-999,-999,36
47-04M,M,C,SHAM,0.3092,0.3166,43.6
47-05M,M,C,GDX,-999,0.0683,41.4
47-07M,M,C,SHAM,0.348,0.2415,37.8
48-01F,F,C,SHAM,-999,-999,35.4
48-03F,F,C,REP,-999,-999,36.2
48-05F,F,C,SHAM,0.1327,-999,33.8
48-06F,F,C,REP,-999,-999,34
48-07M,M,C,GDX,-999,0.0795,36.9
48-08M,M,C,SHAM,0.2673,0.1572,39.7
50-01F (M),M,T,GDX,-999,0.0364,41.6
50-02F,F,T,SHAM,0.157,-999,33.3
50-03M,M,T,REP,-999,0.1605,49
50-05M,M,T,REP,-999,0.104,41.5
50-06M,M,T,REP,-999,0.1335,36.9
50-07M,M,T,SHAM,0.3178,0.2306,46.2
50-08M,M,T,REP,-999,0.1358,44.4
51-01F,F,T,REP,-999,-999,34.4
51-02F,F,T,SHAM,0.1324,-999,30.1
51-03F,F,T,REP,-999,-999,38.1
51-04M,M,T,SHAM,0.2977,0.1916,39.3
51-05M,M,T,SHAM,0.398,0.2719,37.5
51-06M,M,T,SHAM,0.2923,0.1514,39.8
51-07M,M,T,REP,-999,0.1377,37.5
51-08M,M,T,REP,-999,0.1022,38.1
52-01F,F,T,GDX,-999,-999,-999
52-02F,F,T,SHAM,0.1294,-999,28.4
52-03M,M,T,GDX,-999,0.0996,40.1
52-04M,M,T,SHAM,0.4664,0.2222,44.3
52-04M,M,T,SHAM,0.3221,0.2165,40.9
53-01F,F,T,SHAM,-999,-999,29.4
53-02F,F,T,SHAM,0.1128,-999,28.4
53-03M,M,T,SHAM,-999,0.1062,33.2
53-06M,M,T,SHAM,0.306,0.2562,46.3
53-07M,M,T,GDX,-999,0.038,37.2
53-08M,M,T,SHAM,0.2949,0.0862,40.1
E1-01,M,T,GDX,-999,0.13,40.1
E1-02,M,T,SHAM,0.25,0.15,34.4
E1-04,M,T,REP,-999,0.17,39.5
E1-07,M,T,SHAM,0.33,0.31,43.6
E1-08,F,T,REP,-999,-999,33.3
E10-01M,M,C,SHAM,0.351,0.366,40.6
E10-02F,F,C,REP,-999,-999,32
E10-07F,F,C,GDX,-999,-999,38.1
E10-10F,F,C,REP,-999,-999,32.4
E10-13M,M,C,REP,-999,0.234,37.6
E10-14F,F,C,SHAM,0.165,-999,35.4
E11-01F,F,C,SHAM,0.0823,-999,30.4
E11-03F,F,C,SHAM,0.0814,-999,28.4
E11-03M,M,C,GDX,-999,0.102,41.5
E11-05F,F,C,GDX,-999,-999,33.8
E11-07F,F,C,REP,-999,-999,37.2
E11-09M,M,C,REP,-999,0.163,39.6
E11-11F,F,C,GDX,-999,-999,32.9
E11-13F,F,C,SHAM,0.151,-999,31.5
E12-01F,F,T,SHAM,-999,-999,27.2
E12-03F,F,T,REP,-999,-999,38.8
E12-07F,F,T,GDX,-999,-999,39.7
E12-08M,M,T,REP,-999,0.1985,43.2
E12-10FB,F,T,GDX,-999,-999,44.6
E12-15F,F,T,SHAM,0.1834,-999,37.6
E13-01M,M,T,GDX,-999,0.181,41.4
E13-02F,F,T,REP,-999,-999,34.2
E13-02M,M,T,SHAM,0.3442,0.1843,38.4
E13-03F,F,T,SHAM,0.0968,-999,32.4
E13-04F,F,T,GDX,-999,-999,33.5
E13-05F,F,T,REP,-999,-999,34.2
E13-06F,F,T,SHAM,0.1052,-999,32
E13-12FA,F,T,GDX,-999,-999,41.9
E14-07M,M,T,SHAM,0.352,0.246,38.2
E14-09F,F,T,REP,-999,-999,34.6
E14-10F,F,T,GDX,-999,-999,40
E14-11M,M,T,REP,-999,0.401,49.2
E14-12F,F,T,SHAM,0.156,-999,29.8
E14-12M,M,T,GDX,0.116,-999,45.5
E14-13M,M,T,REP,-999,0.295,51.2
E14-14F,F,T,REP,-999,-999,34.7
E15-01F,F,C,SHAM,0.09,-999,32.4
E15-02F,F,C,GDX,-999,-999,36
E15-03F,F,C,REP,-999,-999,33.8
E15-04M,M,C,GDX,-999,0.15,41.5
E15-07M,M,C,SHAM,0.407,0.113,44.4
E15-08F,F,C,GDX,-999,-999,39.8
E15-09F,F,C,REP,-999,-999,32.2
E15-09M,M,C,REP,-999,0.224,47.7
E16-02F,F,T,SHAM,0.163,-999,31.3
E16-05F,F,T,GDX,-999,-999,32.8
E16-07M,M,T,GDX,-999,0.081,42.4
E16-08F,F,T,SHAM,0.0448,-999,31.7
E16-11F,F,T,REP,-999,-999,32.9
E16-12F,F,T,GDX,-999,-999,36.7
E16-15M,M,T,REP,-999,0.174,37.6
E16-16M,M,T,SHAM,0.364,0.159,37.7
E17-01F,F,T,REP,-999,-999,34.6
E17-02M,M,T,GDX,-999,0.179,42.8
E17-03F,F,T,GDX,-999,-999,37.9
E17-04M,M,T,SHAM,0.296,0.137,46.1
E17-05F,F,T,SHAM,0.15,-999,38.1
E17-07F,F,T,SHAM,0.151,-999,36.3
E17-08F,F,T,REP,-999,-999,33.2
E17-09M,M,T,REP,-999,0.285,44.4
E18-01F,F,T,GDX,-999,-999,39.8
E18-03F,F,T,REP,-999,-999,36.7
E18-05F,F,T,SHAM,0.176,-999,-999
E18-06F,F,T,GDX,-999,-999,-999
E18-08M,M,T,GDX,-999,0.116,41.9
E18-09M,M,T,SHAM,0.3433,0.21,35.7
E18-10F,F,T,SHAM,0.0837,-999,31.2
E2-01,M,C,REP,-999,0.28,42.8
E2-02,F,C,GDX,-999,-999,36.5
E2-03,F,C,SHAM,0.11,-999,26
E2-04,M,C,GDX,-999,0.25,38.2
E2-05,F,C,REP,-999,-999,31.2
E2-06,M,C,GDX,-999,0.17,39.2
E2-07,M,C,REP,-999,0.266,-999
E2-08,M,C,SHAM,0.29,0.23,37.9
E20-02F,F,T,REP,-999,-999,34.3
E20-03F,F,T,GDX,-999,-999,37.7
E20-04F,F,T,SHAM,0.067,-999,28.8
E20-05F,F,T,REP,-999,-999,30.5
E20-06F,F,T,GDX,-999,-999,30.2
E20-07F,F,T,REP,-999,-999,30.9
E20-09F,F,T,REP,-999,-999,36.8
E21-03M,M,C,GDX,-999,0.1711,40.5
E21-04M,M,C,GDX,-999,0.0558,38.5
E21-05F,F,C,GDX,-999,-999,36.6
E21-07M,M,C,SHAM,0.2552,0.32,38.9
E21-08F,F,C,REP,-999,-999,32.2
E21-09M,M,C,REP,-999,0.2672,36.7
E22-02F,F,T,REP,-999,-999,31.3
E22-03M,M,T,REP,-999,0.2587,43.8
E22-04F,F,T,GDX,-999,-999,31.1
E22-06M,M,T,GDX,-999,0.0962,37.7
E22-07M,M,T,SHAM,0.3042,0.2402,40.2
E22-09M,M,T,SHAM,-999,-999,40.1
E23-01M,M,T,SHAM,0.186,0.402,41.1
E23-03M,M,T,SHAM,0.497,0.106,40.3
E23-05F,F,T,GDX,-999,-999,38.1
E23-07M,M,T,REP,-999,0.3368,39.7
E23-09F,F,T,SHAM,0.134,-999,32
E24-03M,M,T,GDX,-999,0.0383,39.6
E24-06M,M,T,SHAM,0.2836,0.3107,40.9
E24-07M,M,T,GDX,-999,0.084,34.2
E24-10F,F,T,SHAM,0.0978,-999,31.6
E24-11F,F,T,SHAM,0.0489,-999,30.6
E24-13M,M,T,REP,-999,0.1446,-999
E24-14F,F,T,GDX,-999,-999,37.7
E24-15M,M,T,REP,-999,0.125,37.6
E25-01M,M,T,SHAM,0.261,0.1162,36.1
E25-04F,F,T,REP,-999,-999,33.2
E25-05M,M,T,GDX,-999,0.086,40.4
E25-06M,M,T,REP,-999,0.1004,41.8
E25-07M,M,T,SHAM,0.241,0.123,37
E25-08F,F,T,REP,-999,-999,33.8
E26-01F,F,C,GDX,-999,-999,29.7
E26-03M,M,C,SHAM,0.4253,0.2572,41.1
E26-04F,F,C,SHAM,0.2088,-999,32
E26-05M,M,C,GDX,-999,0.1174,40.9
E26-06F,F,C,REP,-999,-999,36.2
E26-07M,M,C,REP,-999,0.063,39.8
E26-08M,M,C,SHAM,0.4327,0.45,43
E27-02M,M,C,SHAM,0.2705,0.2387,39.8
E27-03M,M,C,REP,-999,0.1627,45.6
E27-05F,F,C,SHAM,0.1446,-999,33
E27-06M,M,C,GDX,-999,0.076,46.5
E27-07M,M,C,REP,-999,0.0601,39.6
E27-08F,F,C,GDX,-999,-999,37.4
E27-09M,M,C,SHAM,0.2816,0.2715,40.4
E3-01,M,T,GDX,-999,0.155,40.9
E3-02,M,T,REP,-999,0.28,39.2
E3-03,M,T,SHAM,0.31,0.29,36
E3-04,M,T,REP,-999,-999,33.1
E3-05,M,T,GDX,-999,0.077,36.1
E3-07,M,T,SHAM,0.25,0.22,39.1
E3-08,F,T,GDX,-999,-999,37.4
E4-01,F,C,GDX,-999,-999,31.4
E4-02,F,C,REP,-999,-999,31.2
E4-03,F,C,SHAM,0.088,-999,29.3
E4-04,M,C,SHAM,0.31,0.256,40.7
E4-05,F,C,REP,-999,-999,32.2
E4-06,M,C,REP,-999,0.156,39.7
E4-07,M,C,SHAM,0.284,0.264,44.7
E4-08,M,C,GDX,-999,0.186,40.8
E5-01,F,T,SHAM,0.1125,-999,-999
E5-02,M,T,SHAM,0.355,0.25,40.6
E5-03,F,T,REP,-999,-999,35.8
E5-04,M,T,REP,-999,0.204,40.9
E5-05,F,T,SHAM,0.138,-999,30.7
E5-06,M,T,SHAM,0.34,0.31,41.8
E5-07,M,T,GDX,-999,0.1,41.6
E5-08,M,T,REP,-999,0.155,42
E6-01,M,T,GDX,-999,0.072,40
E6-02,M,T,REP,-999,-999,-999
E6-03,F,T,SHAM,0.13,-999,41.6
E6-04,M,T,REP,-999,0.206,38.4
E6-05,F,T,GDX,-999,-999,-999
E6-06,M,T,SHAM,0.29,0.17,41.6
E6-07,F,T,REP,-999,-999,31.8
E6-08,M,T,GDX,-999,0.1,39.7
E7-01,M,C,REP,-999,0.16,38.3
E7-02,M,C,GDX,-999,0.12,-999
E7-03,M,C,REP,-999,0.34,42.5
E7-04,F,C,SHAM,0.092,-999,31.5
E7-05,F,C,GDX,-999,-999,39.7
E7-06,F,C,REP,-999,-999,32.9
E7-07,M,C,SHAM,0.323,0.393,51.2
E7-08,F,C,GDX,-999,-999,32.8
E8-02M,M,C,SHAM,0.4,0.14,38.5
E8-03F,F,C,REP,-999,-999,35
E8-04F,F,C,GDX,-999,-999,33.8
E8-05Fa,F,C,REP,-999,-999,35.7
E8-05Fb,F,C,GDX,-999,-999,32.8
E8-07Ma,M,C,REP,-999,0.056,39.9
E8-07Mb,M,C,GDX,-999,0.065,-999
E9-01Ma,M,C,SHAM,0.435,0.142,40.1
E9-01Mb,M,C,SHAM,0.602,0.15,40.4
E9-03F,F,C,REP,-999,-999,35.7
E9-04M,M,C,REP,-999,0.123,40.2
E9-05F,F,C,SHAM,0.138,-999,30.2
E9-09M,M,C,GDX,-999,0.104,38.7
E9-13M,M,C,GDX,-999,0.13,37.9
